issue_id,area,sector,severity,type,current_behavior,expected_behavior,evidence,recommended_fix,affected_file,status
MP-060,design-system,all,high,tokens,"All five --m-* mobile metric tokens added by the mobile pass are used in zero components, every sticky surface hardcodes its own literal instead, and --m-header-h is set to 3.5rem while both real headers are h-16 (4rem)","The tokens are the single source for header, tab bar, gutter and touch metrics, and their values are correct","defined at src/app/globals.css:96-105 with zero usages in src/**/*.tsx; actual header height h-16 at src/components/site-header.tsx:39 and src/app/[lang]/(dashboard)/layout.tsx:85; hardcoded consumers at bottom-nav.tsx:89, merchant-tab-bar.tsx:79, product-buy-bar.tsx:53, order-sticky-actions.tsx:40, merchant-sidebar.tsx:273","Correct --m-header-h to 4rem, then adopt all five mechanically; this also fixes MP-033",src/app/globals.css,fixed
MP-061,design-system,all,medium,consistency,"23 files define their own local formatPrice while currency.ts's formatUsd — documented as the single source of truth — is imported in 4; the copies are not identical, so the same order total renders as $45.00 on /activity and $45 on /orders","One money formatter, with an explicit decimals option for invoices and POS","src/lib/currency.ts:6-10 (and its own comment); 23 local definitions; divergence at src/components/activity-list.tsx:138 vs src/app/[lang]/(site)/orders/page.tsx","Delete the 23 copies and export formatMoney(n, {decimals}) from currency.ts; apply .text-money in the same pass",src/lib/currency.ts,open
MP-062,design-system,all,medium,tokens,"The Button danger variant uses bg-red-600 text-white and Field's error states use border-red-500 and text-red-600, ignoring the --danger-strong and --danger tokens that exist for exactly this, so the destructive action does not adapt between light and dark","Primitives use semantic tokens only","src/components/ui/button.tsx:33; src/components/ui/field.tsx:18, :45, :54; tokens defined with their rationale at src/app/globals.css:41-46",Replace with bg-danger-strong text-danger-strong-foreground and --danger,src/components/ui/button.tsx,fixed
MP-063,design-system,all,medium,visual,"The home hero headline uses gradient-clipped text (bg-gradient-to-br from-primary via-primary to-warning bg-clip-text text-transparent) on Arabic display type, which is the most recognisable generic-AI-design tell, sits on the first screen of the marketplace, and cannot be contrast-checked","The headline uses a single token colour",src/components/hero.tsx:99,Replace with text-foreground or text-primary,src/components/hero.tsx,fixed
MP-064,design-system,all,medium,tokens,"196 raw Tailwind palette classes appear across 42 files with no lint gate, including inside the ui/ primitives themselves","Raw palette colours are banned outside an explicit allow-list",counted across src/**/*.tsx; the only legitimate exception found is src/components/hub/invoice-generator.tsx (a printed document on white paper),Add an ESLint rule banning raw palette classes with an allow-list,eslint.config.mjs,open
MP-065,design-system,all,low,tokens,"All 17 sector heroTint and iconTint values are hand-picked raw-palette gradients living outside the token system, which is why every sector page carries a coloured wash that cannot adapt or be audited","Sector identity is expressed through tokens","src/lib/sectors.ts:186, :199, :212, :225, :238, :251, :267, :280, :293, :306, :319, :332, :345, :358, :371, :384, :397",Define one --sector-* token pair per sector in globals.css and reference it from sectors.ts,src/lib/sectors.ts,open
MP-066,design-system,all,medium,completeness,"Eight primitives are missing (Switch, Table/DataList, Toast, directional Chevron, ChipRail, SegmentedControl, Money, plus accent and whatsapp variants), and each absence maps to a live defect elsewhere in this audit","The primitive set covers the patterns actually used, so callers never need to leave the system","three hand-rolled toggles at src/components/automation/automation-list-item.tsx:107, crm-manager.tsx:772, modules-manager.tsx:86; ChipRail and SegmentedControl were specified in audit/matjar-mobile-app-experience/05_MOBILE_DESIGN_SYSTEM.md and never extracted despite the behaviour shipping",Add the missing variants first (accent and whatsapp) then extract ChipRail SegmentedControl and Switch from their existing implementations,src/components/ui,open
MP-067,qa,fitness,high,correctness,"Class capacity is enforced only by a client-side re-check before a direct table insert, with no database constraint, so two customers booking the last spot within the same round trip both succeed and the class is overbooked","Capacity is enforced atomically in the database, as booking slots already are","src/components/classes-booking.tsx:88 (re-check) and :97 (raw insert); the design is stated at supabase/migrations/0130_store_classes.sql:5-6; no capacity constraint exists, and the 0144 unique indexes do not apply because a class legitimately has many bookings",Move class booking into a SECURITY DEFINER RPC that counts and inserts in one statement,src/components/classes-booking.tsx,fixed
MP-068,qa,sportsCourts,medium,ux,"Timeslot booking re-checks availability client-side then does a raw table insert; the database correctly rejects a conflicting insert via a unique index, but the resulting Postgres constraint violation surfaces through the generic error path rather than a readable ""that slot was just taken""",A losing race produces a clear message and refreshes the slot picker,src/components/timeslot-booking.tsx:129-139; guard at supabase/migrations/0144_bookings_slot_conflict_guard.sql:15,Catch the unique-violation code and map it to a specific dictionary string,src/components/timeslot-booking.tsx,fixed
MP-069,qa,all,high,coverage,"The test suite is 19 files and 178 tests, all pure-function unit tests in a node environment; there are no component tests, no route tests, no E2E, no accessibility tests, and one SQL test against 399 create-policy statements","Coverage extends to RLS policies, the three money-path flows, the ui/ primitives and axe on the main routes",vitest.config.ts sets environment node and includes only src/**/*.test.ts; no playwright cypress jsdom or testing-library dependency in package.json; supabase/tests contains only checkout_pricing.test.sql,"Add RLS policy tests first, then a static query-bound test, then three Playwright flows, then jsdom for ui/",vitest.config.ts,done
MP-070,qa,all,medium,coverage,"src/lib/data (15 files, ~2015 lines) has zero tests, so a silently truncating query or a changed projection would not fail CI",The query layer has contract tests over its row-shape and bounds,no test file references any module under src/lib/data/,"Add a static test asserting every .select() on a growth table carries a .limit() or .range(), plus row-shape tests for the four activity reads",src/lib/data,partial
